,Close/Last
0,4704.54
1,4697.96
2,4682.94
3,4690.7
4,4701.46
5,4594.62
6,4655.27
7,4567.0
8,4513.04
9,4577.1
10,4538.43
11,4591.67
12,4686.75
13,4701.21
14,4667.45
15,4712.02
16,4668.97
17,4634.09
18,4709.85
19,4668.67
20,4620.64
21,4568.02
22,4649.23
23,4696.56
24,4725.79
25,4791.19
26,4786.35
27,4793.06
28,4778.73
29,4766.18
30,4796.56
31,4793.54
32,4700.58
33,4696.05
34,4677.03
35,4670.29
36,4713.07
37,4726.35
38,4659.03
39,4662.85
40,4577.11
41,4532.76
42,4482.73
43,4397.94
44,4410.13
45,4356.45
46,4349.93
47,4326.51
48,4431.85
49,4515.55
50,4546.54
51,4589.38
52,4477.44
53,4500.53
54,4483.87
55,4521.54
56,4587.18
57,4504.08
58,4418.64
59,4401.67
60,4471.07
61,4475.01
62,4380.26
63,4348.87
64,4304.76
65,4225.5
66,4288.7
67,4384.65
68,4373.94
69,4306.26
70,4386.54
71,4363.49
72,4328.87
73,4201.09
74,4170.7
75,4277.88
76,4259.52
77,4204.31
78,4173.11
79,4262.45
80,4357.86
81,4411.67
82,4463.12
83,4461.18
84,4511.61
85,4456.24
86,4520.16
87,4543.06
88,4575.52
89,4631.6
90,4602.45
91,4530.41
92,4545.86
93,4582.64
94,4525.12
95,4481.15
96,4500.21
97,4488.28
98,4412.53
99,4397.45
100,4446.59
101,4392.59
102,4391.69
103,4462.21
104,4459.45
105,4393.66
106,4271.78
107,4296.12
108,4175.2
109,4183.96
110,4287.5
111,4131.93
112,4155.38
113,4175.48
114,4300.17
115,4146.87
116,4123.34
117,3991.24
118,4001.05
119,3935.18
120,3930.08
121,4023.89
122,4008.01
123,4088.85
124,3923.68
125,3900.79
126,3901.36
127,3973.75
128,3941.48
129,3978.73
130,4057.84
131,4158.24
132,4132.15
133,4101.23
134,4176.82
135,4108.54
136,4121.43
137,4160.68
138,4115.77
139,4017.82
140,3900.86
141,3749.63
142,3735.48
143,3789.99
144,3666.77
145,3674.84
146,3764.79
147,3759.89
148,3795.73
149,3911.74
